"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Apple",1,3,"263374.70","140524.32","AAA","AAA",,
"Amazon",2,1,"254187.58","220790.75","AAA+","AAA",,
"Google",3,2,"191214.84","188511.64","AAA","AAA",,
"Microsoft",4,4,"140435.35","117072.01","AAA","AAA",,
"Samsung Group",5,5,"102623.00","94494.00","AAA-","AAA-",,
"Walmart",6,8,"93185.28","77520.39","AA+","AA+",,
"Facebook",7,7,"81476.37","79804.43","AA+","AA+",,
"ICBC",8,6,"72788.38","80791.01","AAA","AAA",,
"Verizon",9,12,"68889.50","63692.08","AAA","AAA-",,
"WeChat",10,19,"67901.98","54146.08","AAA+","AAA+",,
"China Construction Bank",11,13,"59649.12","62602.22","AAA","AAA-",,
"Toyota",12,15,"59479.00","58076.00","AAA","AAA",,
"Mercedes-Benz",13,11,"58225.00","65041.00","AAA-","AAA-",,
"Tencent",14,26,"56432.39","44090.62","AAA","AAA+",,
"Huawei",15,10,"55395.83","65084.36","AAA","AAA-",,
"State Grid",16,16,"55202.86","56964.84","AAA-","AAA-",,
"Ping An",17,9,"54579.00","69041.00","AAA-","AAA-",,
"Taobao",18,36,"53335.29","36986.44","AAA","AAA-",,
"Agricultural Bank Of China",19,18,"53134.09","54657.80","AAA-","AAA-",,
"Home Depot",20,21,"52917.39","50508.29","AAA","AAA-",,
"AT&T",21,14,"51372.34","59103.13","AA","AA+",,
"Disney",22,17,"51244.01","56123.32","AAA+","AAA+",,
"Deutsche Telekom",23,30,"51107.03","39956.07","AA+","AA+",,
"Tmall",24,48,"49178.92","30651.99","AAA","AAA-",,
"Bank of China",25,20,"48689.28","50629.56","AAA","AAA-",,
"Volkswagen",26,25,"47020.00","44897.00","AAA-","AA+",,
"Moutai",27,31,"45333.22","39332.15","AAA","AAA",,
"Shell",28,23,"42156.08","47528.71","AAA","AAA",,
"BMW",29,29,"40447.11","40483.36","AAA-","AAA-",,
"Alibaba.com",30,92,"39155.52","18818.92","AAA","AA+",,
"Starbucks",31,27,"38440.12","41042.79","AAA-","AAA-",,
"China Mobile",32,22,"37558.89","49022.94","AAA-","AAA",,
"Saudi Aramco",33,24,"37478.64","46767.76","AA","AA",,
"Mitsubishi Group",34,34,"36296.92","37652.00","AA-","A+",,
"Marlboro",35,45,"35572.00","32671.00","AA+","AA+",,
"Porsche",36,40,"34325.53","33911.04","AAA-","AAA-",,
"NTT Group",37,37,"34238.00","36351.00","AA","AA",,
"McDonald's",38,35,"33838.36","37448.65","AAA","AAA",,
"Coca-Cola",39,33,"33166.17","37934.97","AAA+","AAA+",,
"Bank of America",40,38,"32787.35","35361.45","AA+","AA+",,
"Citi",41,43,"32199.99","33131.00","AAA-","AA+",,
"Tesla",42,147,"31985.90","12415.87","AA+","AA",,
"Intel",43,54,"31817.20","27507.18","AAA","AAA",,
"Wells Fargo",44,28,"31804.69","40881.04","AA+","AAA-",,
"PetroChina",45,32,"31414.63","38028.10","AA+","AAA-",,
"Honda",46,44,"31366.00","33102.00","AAA","AAA-",,
"Nike",47,39,"30443.30","34792.37","AAA","AAA",,
"CSCEC",48,60,"30383.30","24820.07","AA","AA-",,
"Lowe's",49,62,"30376.09","24756.74","AAA-","AA+",,
"UPS",50,49,"30055.96","29481.70","AA+","AAA-",,
"Costco",51,76,"28887.90","22603.51","AA+","AA",,
"Chase",52,47,"28849.24","31249.53","AA+","AA+",,
"IBM",53,42,"27428.00","33358.00","AA+","AAA-",,
"UnitedHealthcare",54,52,"27308.02","28323.55","AA","AA",,
